X,Y,OBJECTID,Model,Type,Bulb_Type,Wattage,Voltage,Address_Number,Street,City,Light_Fixture_Theme,DATASOURCE,Permit_Number,CartegraphID,SHAPE,Retired,Status,MacID,TEP_Account_Number,Power_Pedestal_ID
993448.572178479,425749.40813648,12945,ATBM A R3,Autobahn,LED,60,480,4702,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,7752,,,Active,00F15DE9,3710005536,529
993528.166010499,425753.016732283,12946,ATBM A R3,Autobahn,LED,60,480,4703,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,7753,,,Active,00F14E65,3710005536,529
993448.509514436,425651.17486877,12947,ATBM A R3,Autobahn,LED,60,480,4712,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,7754,,,Active,00F106C1,3710005536,529
989748.401902888,425346.632217847,12948,ATBS E R2,Autobahn,LED,40,240,771,W Tennessee St,Tucson,Other,TDOT_STREETLIGHTS,,7793,,,Active,00F0F604,3710004075,518
990126.563320208,425027.940616801,12949,ATBS E R2,Autobahn,LED,40,240,711,W Oklahoma St,Tucson,Other,TDOT_STREETLIGHTS,,7794,,,Active,00F0F3DE,3710004075,518
989943.66699475,425027.802821524,12950,ATBS E R2,Autobahn,LED,40,240,741,W Oklahoma St,Tucson,Other,TDOT_STREETLIGHTS,,7795,,,Active,00F0F40E,3710004075,518
989760.4835958,425025.117125981,12951,ATBS E R2,Autobahn,LED,40,240,771,W Oklahoma St,Tucson,Other,TDOT_STREETLIGHTS,,7796,,,Active,00F29104,3710004075,518
990138.964238845,424705.700787403,12952,ATBS E R2,Autobahn,LED,40,240,711,W Kentucky St,Tucson,Other,TDOT_STREETLIGHTS,,7797,,,Active,00F0F5B7,3710004075,518
989942.788385827,424702.172900259,12953,ATBS E R2,Autobahn,LED,40,240,741,W Kentucky St,Tucson,Other,TDOT_STREETLIGHTS,,7798,,,Active,00F0F676,3710004075,518
989742.583661418,424699.338910758,12954,ATBS E R2,Autobahn,LED,40,240,771,W Kentucky St,Tucson,Other,TDOT_STREETLIGHTS,,7799,,,Active,00F340CF,3710004075,518
989602.222769029,425430.495078743,12955,ATBS E R2,Autobahn,LED,40,240,4726,S 15th Av,Tucson,Other,TDOT_STREETLIGHTS,,7800,,,Active,00F0F5E1,3710004075,518
989600.618438318,425614.939960629,12956,ATBS E R2,Autobahn,LED,40,240,4702,S 15th Av,Tucson,Other,TDOT_STREETLIGHTS,,7801,,,Active,00F0F5ED,3710004075,518
989595.502952754,425811.724081367,12957,ATBS E R2,Autobahn,LED,40,240,4632,S 15th Av,Tucson,Other,TDOT_STREETLIGHTS,,7802,,,Active,00F0F60E,3710004075,518
989576.089895014,426015.660433069,12958,ATBS E R2,Autobahn,LED,40,240,4601,S 15th Av,Tucson,Other,TDOT_STREETLIGHTS,,7803,,,Active,00F0F62F,3710008006,553
989299.145997375,426012.889107615,12959,ATBS E R2,Autobahn,LED,40,240,4601,S 16th Av,Tucson,Other,TDOT_STREETLIGHTS,,7804,,,Active,00F0F490,3710008006,553
989290.824146982,425830.905183725,12960,ATBS E R2,Autobahn,LED,40,240,4621,S 16th Av,Tucson,Other,TDOT_STREETLIGHTS,,7805,,,Active,00F0F60A,3710008006,553
989030.65452756,426027.442913383,12961,ATBS E R2,Autobahn,LED,40,240,4601,S 17th Av,Tucson,Other,TDOT_STREETLIGHTS,,7806,,,Active,00F0F14E,3710008006,553
988917.484251969,426380.541010499,12962,ATBS E R2,Autobahn,LED,40,240,4540,S 17th Av,Tucson,Other,TDOT_STREETLIGHTS,,7807,,,Active,00F0F63D,3710008006,553
988909.732283466,426845.938648291,12963,ATBS E R2,Autobahn,LED,40,240,4500,S 17th Av,Tucson,Other,TDOT_STREETLIGHTS,,7808,,,Active,00F0F0E4,3710008006,553
988695.041666668,426841.427821524,12964,ATBS E R2,Autobahn,LED,40,240,4501,S 18th Av,Tucson,Other,TDOT_STREETLIGHTS,,7809,,,Active,00F0F254,3710008006,553
986781.294947505,428895.508202098,12965,ATBS E R2,Autobahn,LED,40,240,4044,S Kostka Av,Tucson,Other,TDOT_STREETLIGHTS,,7848,,,Active,00F0F57A,2910005210,418
986777.995406825,428739.763451442,12966,ATBS E R2,Autobahn,LED,40,240,4068,S Kostka Av,Tucson,Other,TDOT_STREETLIGHTS,,7849,,,Active,00F0F57B,2910005210,418
986777.09547244,428592.770997375,12967,ATBS E R2,Autobahn,LED,40,240,4102,S Kostka Av,Tucson,Other,TDOT_STREETLIGHTS,,7850,,,Active,00F0F561,2910005210,418
986778.961942255,428447.98523622,12968,ATBS E R2,Autobahn,LED,40,240,4118,S Kostka Av,Tucson,Other,TDOT_STREETLIGHTS,,7851,,,Active,00F0F56D,2910005210,418
986781.291010499,428285.376312338,12969,ATBS E R2,Autobahn,LED,40,240,4208,S Kostka Av,Tucson,Other,TDOT_STREETLIGHTS,,7852,,,Active,00F0F444,2910005210,418
986786.348753281,427985.629593179,12970,ATBS E R2,Autobahn,LED,40,240,4234,S Kostka Av,Tucson,Other,TDOT_STREETLIGHTS,,7853,,,Active,00F0F402,2910005210,418
986788.558727033,427836.844816275,12971,ATBS E R2,Autobahn,LED,40,240,4308,S Kostka Av,Tucson,Other,TDOT_STREETLIGHTS,,7854,,,Active,00F0F3EE,2910005210,418
